Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type
5.3599,-238,20.09,6.03,Touchpad DOWN
5.3670,-101,14177.53,4257.48,Touchpad DOWN
5.3755,-113,13259.00,6957.94,Touchpad DOWN
5.3814,-131,22174.17,11522.81,Touchpad DOWN
5.3884,-146,20750.51,14291.12,Touchpad DOWN
5.3944,-141,23671.97,17105.37,Touchpad DOWN
5.4066,-150,12326.04,15671.57,Touchpad DOWN
5.4094,-85,30461.03,20108.41,Touchpad DOWN
5.4441,-548,15777.59,18809.16,Touchpad DOWN
5.5219,-1352,17381.77,8752.46,Touchpad DOWN
5.5684,-716,15401.26,10747.10,Touchpad DOWN
5.6514,-1145,13797.01,7164.07,Touchpad DOWN
5.7020,-585,11539.83,6382.92,Touchpad DOWN
5.7786,-757,9885.79,5514.53,Touchpad DOWN
6.0672,-261,904.53,300.27,Touchpad DOWN
6.3824,-204,647.14,194.14,Touchpad DOWN
6.3870,-98,21216.16,6500.75,Touchpad DOWN
6.3941,-111,15687.83,9256.87,Touchpad DOWN
6.4011,-124,17746.40,11803.73,Touchpad DOWN
6.4079,-133,19550.78,14127.84,Touchpad DOWN
6.4355,-131,4738.80,11311.13,Touchpad DOWN
6.4371,-505,327072.81,106039.63,Touchpad DOWN
6.5016,-1029,15951.58,52877.76,Touchpad DOWN
6.5256,-350,14572.66,41386.23,Touchpad DOWN
6.6025,-1000,13002.89,18052.95,Touchpad DOWN
6.6038,-25,19300.13,18427.11,Touchpad DOWN
6.6822,-851,10855.40,8864.11,Touchpad DOWN
6.8879,-738,3587.43,1220.73,Touchpad DOWN
7.1036,-39,180.82,61.15,Touchpad DOWN
7.5551,-233,516.11,154.83,Touchpad DOWN
7.5607,-87,15415.02,4732.89,Touchpad DOWN
7.5684,-85,11117.84,6648.38,Touchpad DOWN
7.5747,-85,13494.68,8702.27,Touchpad DOWN
7.5810,-83,12976.26,9984.47,Touchpad DOWN
7.5965,-545,35332.87,17588.99,Touchpad DOWN
7.6233,-222,8283.02,14797.20,Touchpad DOWN
7.8240,-892,4443.41,1783.82,Touchpad DOWN
8.5744,-239,318.53,95.56,Touchpad DOWN
8.5813,-84,12164.12,3716.13,Touchpad DOWN
8.5880,-87,12878.68,6464.89,Touchpad DOWN
8.5951,-95,13464.63,8564.81,Touchpad DOWN
8.6018,-97,14455.41,10331.99,Touchpad DOWN
8.6090,-96,13344.38,11235.71,Touchpad DOWN
8.6188,-91,9234.98,10635.49,Touchpad DOWN
8.6233,-79,17640.95,12737.13,Touchpad DOWN
8.6783,-188,3417.51,6233.80,Touchpad DOWN
8.8523,-1513,8697.55,2970.95,Touchpad DOWN
8.9129,-285,4704.41,2760.71,Touchpad DOWN
9.0716,-149,938.68,570.29,Touchpad DOWN
9.4355,-242,664.98,199.49,Touchpad DOWN
9.4424,-84,12128.53,3778.20,Touchpad DOWN
9.4493,-32,4660.99,4043.04,Touchpad DOWN
9.4674,-113,6233.40,4700.15,Touchpad DOWN
9.5389,-632,8840.36,5942.21,Touchpad DOWN
9.5405,-15,9508.02,7011.95,Touchpad DOWN
9.5823,-259,6199.35,6768.17,Touchpad DOWN
9.6332,-214,4200.55,5997.88,Touchpad DOWN
9.6708,-114,3030.18,5107.57,Touchpad DOWN
9.7309,-85,1416.05,2694.31,Touchpad DOWN
9.8727,-20,141.05,59.51,Touchpad DOWN
10.5192,198,306.22,91.87,Touchpad UP
10.5263,94,13296.84,4053.36,Touchpad UP
10.5329,100,15092.85,7365.21,Touchpad UP
10.5397,100,14856.56,9612.61,Touchpad UP
10.5469,90,12501.65,10479.32,Touchpad UP
10.5539,38,5386.95,8951.61,Touchpad UP
10.5915,197,5241.82,7838.67,Touchpad UP
10.6451,535,9979.86,8481.03,Touchpad UP
10.8583,683,3203.64,1056.80,Touchpad UP
11.0931,46,195.91,65.72,Touchpad UP
11.6103,282,545.27,163.58,Touchpad UP
11.6170,114,17009.98,5217.50,Touchpad UP
11.6241,109,15376.67,8265.25,Touchpad UP
11.6305,103,16001.09,10586.00,Touchpad UP
11.6385,97,12177.05,11063.32,Touchpad UP
11.6444,40,6798.45,9783.86,Touchpad UP
11.9573,1393,4451.53,1377.11,Touchpad UP
11.9943,93,2514.64,1718.37,Touchpad UP
12.0199,44,1717.70,1718.17,Touchpad UP
12.0617,43,1028.65,1511.31,Touchpad UP
12.1532,23,251.37,532.44,Touchpad UP
12.7273,183,318.76,95.63,Touchpad UP
12.7342,88,12693.84,3875.09,Touchpad UP
12.7433,87,9626.05,5600.38,Touchpad UP
12.7481,87,17793.27,9258.25,Touchpad UP
12.7552,81,11466.81,9920.82,Touchpad UP
12.7617,73,11303.73,10335.69,Touchpad UP
12.7756,-337,24175.70,14487.69,Touchpad DOWN
12.7818,36,5830.37,11890.50,Touchpad UP
12.8383,394,6969.46,10414.18,Touchpad UP
12.8394,-113,107595.09,39568.45,Touchpad DOWN
12.8715,220,6844.85,29751.37,Touchpad UP
12.8723,-60,72191.12,42483.30,Touchpad DOWN
12.9779,349,3305.34,30729.91,Touchpad UP
12.9783,-66,163029.48,70419.78,Touchpad DOWN
13.0966,85,718.67,5756.69,Touchpad UP
13.0976,-38,39955.77,16016.41,Touchpad DOWN
13.1748,7,90.63,4194.18,Touchpad UP
13.1752,-5,11178.85,6289.58,Touchpad DOWN
13.6153,-194,440.90,132.27,Touchpad DOWN
13.6220,-74,10993.08,3390.51,Touchpad DOWN
13.6292,-75,10420.46,5499.50,Touchpad DOWN
13.6359,-72,10708.10,7062.08,Touchpad DOWN
13.6434,-67,8978.51,7637.01,Touchpad DOWN
13.6501,-26,3850.02,6500.91,Touchpad DOWN
13.6988,-110,2260.94,3547.17,Touchpad DOWN
13.8855,-460,2463.23,927.05,Touchpad DOWN
14.0382,-37,242.30,100.82,Touchpad DOWN
14.4559,-158,378.30,113.49,Touchpad DOWN
14.4623,-84,13158.60,4027.02,Touchpad DOWN
14.4692,-90,13027.59,6727.19,Touchpad DOWN
14.4760,-91,13264.81,8688.48,Touchpad DOWN
14.4841,-97,12074.78,9704.37,Touchpad DOWN
14.4904,-97,15293.87,11381.22,Touchpad DOWN
14.5006,-42,4116.39,9201.77,Touchpad DOWN
14.5106,-619,62071.73,25062.76,Touchpad DOWN
14.6029,-775,8395.71,9726.31,Touchpad DOWN
14.8096,-550,2661.30,915.32,Touchpad DOWN
15.3511,-173,319.44,95.83,Touchpad DOWN
15.3579,-72,10696.72,3276.10,Touchpad DOWN
15.3650,-73,10178.66,5346.87,Touchpad DOWN
15.3719,-75,10941.66,7025.31,Touchpad DOWN
15.3798,-77,9682.55,7822.48,Touchpad DOWN
15.3864,-75,11364.21,8885.00,Touchpad DOWN
15.3979,-34,2972.76,7111.33,Touchpad DOWN
15.4270,-541,18564.94,10547.41,Touchpad DOWN
15.4322,-35,6758.15,9410.63,Touchpad DOWN
15.4736,-298,7200.15,8747.49,Touchpad DOWN
15.5081,-191,5536.52,7784.20,Touchpad DOWN
15.5179,-49,5001.36,6949.35,Touchpad DOWN
15.6216,-241,2324.44,2292.87,Touchpad DOWN
15.6644,-43,1003.17,1329.36,Touchpad DOWN
15.6669,-2,820.16,1176.60,Touchpad DOWN
15.7148,-15,312.78,608.55,Touchpad DOWN
