Timestamp_Seconds,Delta,Instant_Velocity,Smoothed_Velocity,Gesture_Type,App_Offset,App_Target,App_Velocity
-0.0312,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0302,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0275,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0249,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
-0.0229,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0202,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0192,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0160,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0138,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0118,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0098,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0078,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
-0.0048,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
-0.0034,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0010,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0020,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0040,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0061,0,0.00,0.00,APP_STATE,1333.59,1337.60,15.86
0.0087,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0107,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0133,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0154,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0174,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0194,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0214,0,0.00,0.00,APP_STATE,1333.57,1337.60,15.89
0.0239,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0260,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
0.0328,0,0.00,0.00,APP_STATE,1333.35,1337.60,16.32
